Name,Last Name,Vote,Party
VINICIO GIUSEPPE GUIDO,PELUFFO,si,PD
CATERINA,PES,si,PD
DANIELE,PESCO,-,M5S
COSIMO,PETRAROLI,-,M5S
GIOVANNA,PETRENGA,-,FdI
PAOLO,PETRINI,si,PD
ILEANA CATHIA,PIAZZONI,si,PD
GUGLIELMO,PICCHI,-,Lega
TERESA,PICCIONE,si,PD
FLAVIA,PICCOLI NARDELLI,si,PD
GIORGIO,PICCOLO,si,PD
SALVATORE,PICCOLO,si,PD
FILIPPO,PICCONE,-,AP
GAETANO,PIEPOLI,si,DS-CD
MAURO,PILI,-,Misto
NAZZARENO,PILOZZI,si,PD
GIANLUCA,PINI,-,Lega
GIUDITTA,PINI,si,PD
PAOLA,PINNA,si,PD
MICHELE,PIRAS,-,SI-SEL
GIROLAMO,PISANO,-,M5S
GIUSEPPE,PISICCHIO,si,Misto
VINCENZO,PISO,-,Misto
SERGIO,PIZZOLANTE,si,AP
ANTONIO,PLACIDO,-,SI-SEL
ALBRECHT,PLANGGER,si,Misto
CATIA,POLIDORI,-,FI-PdL
BARBARA MARIA SIMONETTA,POLLASTRINI,si,PD
RENATA,POLVERINI,-,FI-PdL
FABIO,PORTA,si,PD
GIACOMO ANTONIO,PORTAS,si,PD
EMANUELE,PRATAVIERA,-,Misto
STEFANIA,PRESTIGIACOMO,-,FI-PdL
ERNESTO,PREZIOSI,si,PD
FRANCESCO,PRINA,si,PD
ARIS,PRODANI,no,Misto
STEFANO,QUARANTA,-,SI-SEL
LIA,QUARTAPELLE PROCOPIO,si,PD
GIUSEPPE STEFANO,QUINTARELLI,si,Misto
MARIANO,RABINO,si,SCpI
FAUSTO,RACITI,si,PD
MICHELE,RAGOSTA,si,PD
FABIO,RAMPELLI,-,FdI
ROBERTO,RAMPI,si,PD
LAURA,RAVETTO,-,FI-PdL
ERMETE,REALACCI,si,PD
FRANCESCO,RIBAUDO,si,PD
LARA,RICCIATTI,-,SI-SEL
MATTEO,RICHETTI,si,PD
ANDREA,RIGONI,si,PD
WALTER,RIZZETTO,-,FdI
GIANLUCA,RIZZO,-,M5S
EUGENIA MARIA,ROCCELLA,no,Misto
MARIA GRAZIA,ROCCHI,si,PD
GIUSEPPE,ROMANINI,si,PD
ANDREA,ROMANO,si,PD
FRANCESCO SAVERIO,ROMANO,si,Misto
PAOLO NICOLO',ROMANO,-,M5S
GIUSEPPE,ROMELE,-,FI-PdL
MARCO,RONDINI,-,Lega
ETTORE,ROSATO,si,PD
DOMENICO,ROSSI,si,DS-CD
PAOLO,ROSSI,si,PD
ANNA,ROSSOMANDO,si,PD
MICHELA,ROSTAN,si,PD
GESSICA,ROSTELLATO,si,PD
GIANFRANCO,ROTONDI,-,FI-PdL
ALESSIA,ROTTA,si,PD
SIMONETTA,RUBINATO,si,PD
ANGELO,RUGHETTI,si,PD
CARLA,RUOCCO,-,M5S
PAOLO,RUSSO,-,FI-PdL
BARBARA,SALTAMARTINI,-,Lega
GIANFRANCO,SAMMARCO,si,AP
GIOVANNI,SANGA,si,PD
LUCA,SANI,-,PD
FRANCESCO,SANNA,si,PD
GIOVANNA,SANNA,si,PD
ARCANGELO,SANNICANDRO,-,SI-SEL
JOLE,SANTELLI,-,FI-PdL
MILENA,SANTERINI,si,DS-CD
CARLO,SARRO,-,FI-PdL
GIULIA,SARTI,-,M5S
ELVIRA,SAVINO,-,FI-PdL
SANDRA,SAVINO,-,FI-PdL
MARIO,SBERNA,si,DS-CD
DANIELA,SBROLLINI,si,PD
EMANUELE,SCAGLIUSI,-,M5S
IVAN,SCALFAROTTO,-,PD
GIAN PIERO,SCANU,si,PD
GEA,SCHIRO',si,PD
MANFRED,SCHULLIAN,-,Misto
ROSANNA,SCOPELLITI,si,AP
ARTURO,SCOTTO,-,SI-SEL
CHIARA,SCUVERA,si,PD
SAMUELE,SEGONI,-,Misto
ANGELO,SENALDI,si,PD
MARINA,SERENI,si,PD
CAMILLA,SGAMBATO,si,PD
CARLO,SIBILIA,-,M5S
ROBERTO,SIMONETTI,-,Lega
ELISA,SIMONI,si,PD
FRANCESCO PAOLO,SISTO,-,FI-PdL
GIRGIS,SORIAL,-,M5S
GIULIO CESARE,SOTTANELLI,si,SCpI
MARIA EDERA,SPADONI,-,M5S
ROBERTO,SPERANZA,si,PD
ARIANNA,SPESSOTTO,-,M5S
LUCA,SQUERI,-,FI-PdL
NICOLA,STUMPO,si,PD
BRUNO,TABACCI,si,DS-CD
ALESSIO,TACCONI,si,PD
MARCELLO,TAGLIALATELA,-,FdI
PAOLO,TANCREDI,si,AP
LUIGI,TARANTO,si,PD
GIACOMINO,TARICCO,si,PD
ASSUNTA,TARTAGLIONE,si,PD
VERONICA,TENTORI,si,PD
ALESSANDRA,TERROSI,si,PD
PATRIZIA,TERZONI,-,M5S
MARIETTA,TIDEI,si,PD
IRENE,TINAGLI,si,PD
ANGELO,TOFALO,-,M5S
DANILO,TONINELLI,-,M5S
ACHILLE,TOTARO,-,FdI
DAVIDE,TRIPIEDI,-,M5S
MARIO,TULLO,si,PD
TANCREDI,TURCO,-,Misto
GIANLUCA,VACCA,-,M5S
GUGLIELMO,VACCARO,no,Misto
SIMONE,VALENTE,-,M5S
VALERIA,VALENTE,si,PD
VALENTINO,VALENTINI,-,FI-PdL
SIMONE,VALIANTE,si,PD
ANDREA,VALLASCAS,-,M5S
PIERPAOLO,VARGIU,-,SCpI
FRANCO,VAZIO,si,PD
ANDREA,VECCHIO,si,SCpI
PAOLO,VELLA,-,FI-PdL
SILVIA,VELO,si,PD
LAURA,VENITTELLI,si,PD
CECILIA,VENTRICELLI,si,PD
WALTER,VERINI,si,PD
MARIA VALENTINA,VEZZALI,-,SCpI
LUDOVICO,VICO,si,PD
RAFFAELLO,VIGNALI,si,AP
STEFANO,VIGNAROLI,-,M5S
ALESSIO MATTIA,VILLAROSA,-,M5S
ROSA MARIA,VILLECCO,si,PD
ELIO,VITO,-,FI-PdL
ADRIANO,ZACCAGNINI,-,SI-SEL
SANDRA,ZAMPA,si,PD
ALESSANDRO,ZAN,si,PD
ENRICO,ZANETTI,si,SCpI
GIORGIO,ZANIN,si,PD
GIUSEPPE,ZAPPULLA,si,PD
FILIBERTO,ZARATTI,-,SI-SEL
DIEGO,ZARDINI,si,PD
DAVIDE,ZOGGIA,si,PD
ALBERTO,ZOLEZZI,-,M5S
Piero,Aiello,si,AP
Alberto,Airola,no,M5S
Donatella,Albano,si,PD
Gabriele,Albertini,si,AP
Bruno,Alicata,no,FI-PdL
Silvana,Amati,si,PD
Bartolomeo,Amidei,no,FI-PdL
Francesco Maria,Amoruso,si,AL-A
Ignazio,Angioni,si,PD
Ignazio,Angioni,si,PD
Francesco,Aracri,no,FI-PdL
Paolo,Arrigoni,-,Lega
Bruno,Astorre,si,PD
Andrea,Augello,-,GAL
Domenico,Auricchio,si,AL-A
Antonio,Azzollini,-,AP
Lucio,Barani,si,AL-A
Giovanni,Barozzino,no,Misto
Lorenzo,Battista,si,Aut
Raffaela,Bellot,si,Misto
Alessandra,Bencini,si,Misto
Hans,Berger,si,Aut
Anna Maria,Bernini,-,FI-PdL
Stefano,Bertacco,no,FI-PdL
Ornella,Bertorotta,no,M5S
Maria Teresa,Bertuzzi,si,PD
Amedeo,Bianco,si,PD
Laura,Bianconi,si,AP
Laura,Bignami,no,Misto
Giovanni,Bilardi,si,AP
Patrizia,Bisinella,si,Misto
Rosetta Enza,Blundo,no,M5S
Bernabo',Bocca,si,FI-PdL
Michele,Boccardi,no,FI-PdL
Fabrizio,Bocchino,no,Misto
Paolo,Bonaiuti,-,AP
Sandro,Bondi,si,Misto
Anna Cinzia,Bonfrisco,no,CoR
Daniele Gaetano,Borioli,si,PD
Laura,Bottici,no,M5S
Claudio,Broglia,si,PD
Francesco,Bruni,no,CoR
Filippo,Bubbico,si,PD
Maurizio,Buccarella,no,M5S
Enrico,Buemi,si,Aut
Elisa,Bulgarelli,no,M5S
Roberto,Calderoli,no,Lega
Massimo,Caleo,si,PD
Giacomo,Caliendo,no,FI-PdL
Francesco,Campanella,no,Misto
Stefano,Candiani,no,Lega
Laura,Cantini,si,PD
Rosaria,Capacchione,si,PD
